,Treatment,true_ite,predicted_ite,diff_ite,yf_true,yf_hat,diff_yf_DR,diff_yf_w/oDR,diff_yf_DR_prob,diff_yf_w/oDR_prob,diff_yf_DR <= diff_yf_w/oDR _values
0,1,0,-0.058246657,0.058246657,0,0.094072253,0.094072253,0.123082325,0.000190513,0.000242086,1
1,0,0,-0.022966892,0.022966892,0,0.181681544,0.181681544,0.247873425,0.000367938,0.000487534,1
2,1,0,0.007114202,0.007114202,0,0.152114883,0.152114883,0.20351997,0.00030806,0.000400296,1
3,1,0,0.080149382,0.080149382,1,0.376626045,0.623373985,0.452951908,0.001262446,0.000890895,0
4,1,0,-0.015043773,0.015043773,0,0.086528569,0.086528569,0.111442767,0.000175236,0.000219193,1
5,0,0,-0.00562463,0.00562463,0,0.087565035,0.087565035,0.098769806,0.000177335,0.000194267,1
6,0,0,0.046810091,0.046810091,0,0.237577319,0.237577319,0.350428671,0.000481137,0.000689246,1
7,0,0,-0.006065652,0.006065652,0,0.083888441,0.083888441,0.105311692,0.000169889,0.000207134,1
8,1,0,-0.006109692,0.006109692,0,0.079309098,0.079309098,0.097222358,0.000160615,0.000191223,1
9,1,0,-0.028721064,0.028721064,0,0.084004194,0.084004194,0.10786818,0.000170124,0.000212162,1
10,1,0,-0.024526276,0.024526276,0,0.066027798,0.066027798,0.071597762,0.000133718,0.000140823,1
11,1,1,-0.081672579,1.081672549,1,0.106205225,0.893794775,0.843505383,0.001810097,0.001659061,0
12,0,0,-0.023390129,0.023390129,0,0.095827699,0.095827699,0.114980049,0.000194068,0.00022615,1
13,1,0,-0.010066606,0.010066606,1,0.088782117,0.911217868,0.889571249,0.001845382,0.001749667,0
14,1,0,-0.025055069,0.025055069,0,0.053377662,0.053377662,0.056260306,0.000108099,0.000110656,1
15,1,0,-0.011774458,0.011774458,0,0.087016955,0.087016955,0.115030468,0.000176225,0.000226249,1
16,1,0,-0.013203047,0.013203047,0,0.075035647,0.075035647,0.098871447,0.000151961,0.000194467,1
17,0,0,-0.040988356,0.040988356,1,0.226773411,0.773226619,0.667186141,0.001565924,0.001312265,0
18,1,0,-0.022533521,0.022533521,0,0.066368788,0.066368788,0.073057942,0.000134409,0.000143695,1
19,1,0,-0.008312784,0.008312784,0,0.06971892,0.06971892,0.085328199,0.000141193,0.000167829,1
20,0,0,-0.016817242,0.016817242,0,0.10667859,0.10667859,0.133953154,0.000216044,0.000263468,1
21,0,0,-0.023484938,0.023484938,0,0.087396719,0.087396719,0.100588679,0.000176994,0.000197844,1
22,1,0,-0.020390742,0.020390742,0,0.074814141,0.074814141,0.093068913,0.000151512,0.000183054,1
23,1,0,-0.01271493,0.01271493,0,0.082305111,0.082305111,0.099804178,0.000166683,0.000196301,1
24,1,0,-0.053834543,0.053834543,0,0.122422501,0.122422501,0.139526293,0.000247928,0.000274429,1
25,1,0,-0.021008641,0.021008641,0,0.064644851,0.064644851,0.069862694,0.000130918,0.000137411,1
26,0,0,-0.045675084,0.045675084,0,0.234174877,0.234174877,0.359920263,0.000474247,0.000707915,1
27,0,0,-0.018134966,0.018134966,0,0.089429282,0.089429282,0.106137663,0.000181111,0.000208758,1
28,1,0,-0.017057031,0.017057031,1,0.164154887,0.835845113,0.791411102,0.001692738,0.001556599,0
29,1,0,-0.147418022,0.147418022,1,0.277499497,0.722500503,0.587204695,0.001463195,0.001154953,0
30,1,0,-0.010458089,0.010458089,0,0.104765497,0.104765497,0.113089696,0.000212169,0.000222432,1
31,1,0,-0.013289131,0.013289131,0,0.072045885,0.072045885,0.088460967,0.000145906,0.000173991,1
32,0,0,-0.034462601,0.034462601,0,0.188340411,0.188340411,0.25524652,0.000381424,0.000502036,1
33,1,0,-0.095554344,0.095554344,0,0.112264894,0.112264894,0.15692018,0.000227357,0.000308641,1
34,1,0,-0.078373238,0.078373238,0,0.157479867,0.157479867,0.177089483,0.000318925,0.000348311,1
35,1,1,-0.026007175,1.026007175,1,0.172559932,0.827440083,0.773994684,0.001675716,0.001522343,0
36,1,0,-0.014509149,0.014509149,0,0.090328,0.090328,0.110916339,0.000182931,0.000218157,1
37,1,0,-0.023348741,0.023348741,0,0.06576661,0.06576661,0.070173964,0.000133189,0.000138023,1
38,0,0,-0.037451565,0.037451565,1,0.109028168,0.890971839,0.862528861,0.00180438,0.001696478,0
39,0,0,-0.022548221,0.022548221,0,0.089206725,0.089206725,0.098315515,0.00018066,0.000193373,1
40,1,0,-0.010643035,0.010643035,0,0.076338001,0.076338001,0.094762869,0.000154598,0.000186386,1
41,0,0,-0.143365741,0.143365741,0,0.421581984,0.421581984,0.574721098,0.00085378,0.001130399,1
42,1,0,0.05388093,0.05388093,1,0.336564124,0.663435876,0.564177155,0.001343578,0.00110966,0
43,1,0,-0.022388205,0.022388205,0,0.079613402,0.079613402,0.095418587,0.000161232,0.000187676,1
44,1,0,-0.019504488,0.019504488,0,0.06678731,0.06678731,0.083160214,0.000135256,0.000163565,1
45,1,0,-0.021229215,0.021229215,0,0.064603619,0.064603619,0.074996054,0.000130834,0.000147507,1
46,1,1,0.027221516,0.972778499,1,0.133581787,0.866418242,0.80763489,0.001754654,0.001588509,0
47,1,0,-0.014558092,0.014558092,0,0.076363668,0.076363668,0.09833549,0.00015465,0.000193413,1
48,0,0,-0.00215929,0.00215929,0,0.105418354,0.105418354,0.139604107,0.000213491,0.000274582,1
49,0,0,-0.022343665,0.022343665,0,0.098611198,0.098611198,0.116332807,0.000199706,0.000228811,1
50,1,0,-0.067039222,0.067039222,0,0.091164872,0.091164872,0.103721939,0.000184625,0.000204007,1
51,1,0,-0.013374358,0.013374358,0,0.081083089,0.081083089,0.09879753,0.000164208,0.000194321,1
52,1,0,-0.020664714,0.020664714,0,0.077505484,0.077505484,0.090563834,0.000156963,0.000178127,1
53,0,0,-0.022722036,0.022722036,0,0.091214508,0.091214508,0.105738692,0.000184726,0.000207974,1
54,1,0,0.006182417,0.006182417,0,0.100322172,0.100322172,0.150506645,0.000203171,0.000296026,1
55,1,0,-0.020557992,0.020557992,0,0.066402934,0.066402934,0.080829412,0.000134478,0.000158981,1
56,1,0,-0.015677623,0.015677623,0,0.071154304,0.071154304,0.083442234,0.0001441,0.00016412,1
57,1,0,-0.028486196,0.028486196,0,0.054423962,0.054423962,0.057593174,0.000110218,0.000113278,1
