,iter_id,drnet_PEHE_out,drnet_ATE_metric_out,drnet_PEHE_in,drnet_ATE_metric_in
0,0,0.31096183,0.005789019,0.325516686,0.011540942
1,1,0.322880651,0.02041203,0.32040811,0.022835209
2,2,0.319906223,0.000991855,0.32325941,0.006716173
3,3,0.324514422,0.013972201,0.320063706,0.013395342
4,4,0.321628038,0.031018788,0.320874809,0.017274005
5,5,0.323117622,0.02699662,0.320229146,0.029629808
6,6,0.305244983,0.006535628,0.326772686,0.015234365
7,7,0.330156522,0.008100584,0.319606536,0.011230221
8,8,0.327864041,0.05076499,0.325189915,0.055616363
9,9,0.330134346,0.009025534,0.320429446,0.0087172
10,10,0.3234139,0.001777855,0.321486501,0.019715794
11,11,0.327463388,0.028481851,0.325198945,0.030069402
12,12,0.327296982,0.024165269,0.318821238,0.017377066
13,13,0.330940521,0.006951302,0.319101113,0.007618436
14,14,0.330292062,0.004888896,0.31835753,0.016670939
15,15,0.335070232,0.00546391,0.317513869,0.003040873
16,16,0.33331799,0.008237569,0.316527777,8.78E-05
17,17,0.309534838,0.016149794,0.327260629,0.02622648
18,18,0.317957373,0.033493895,0.322496209,0.026882086
19,19,0.319516368,0.022864471,0.32134226,0.01422804
20,20,0.322775092,0.020993668,0.318696525,0.002515967
21,21,0.310793083,0.012161229,0.325457939,0.014099583
22,22,0.327937254,0.01076935,0.319190834,0.013692216
23,23,0.313235337,0.020360626,0.322311927,0.012664641
24,24,0.313524151,0.013863583,0.32242544,0.013754671
25,25,0.317451379,0.002906784,0.320455606,0.001501278
26,26,0.329415765,0.007241135,0.319573224,0.009501898
27,27,0.308405294,0.020393744,0.325475755,0.023019845
28,28,0.306470056,0.001383998,0.323328901,0.003984464
29,29,0.33901191,0.010180226,0.318328192,0.001136201
30,30,0.31588317,0.025758509,0.322212717,0.018146885
31,31,0.337354615,0.024975584,0.316465091,0.020857098
32,32,0.31464829,0.039945629,0.32502495,0.028951133
33,33,0.328866104,0.031588985,0.321497701,0.028572886
34,34,0.335785284,0.031385428,0.323611552,0.036692791
35,35,0.319373256,0.028504501,0.324883256,0.026868429
36,36,0.321367859,0.020952946,0.321420321,0.021339537
37,37,0.315049193,0.015421846,0.321129358,0.010325117
38,38,0.316996147,0.000238724,0.320259556,0.002793125
39,39,0.324600631,0.004246312,0.318806469,0.008480934
40,40,0.327375252,0.012175868,0.320172271,0.004720389
41,41,0.323044485,0.008879208,0.320490594,0.003631487
42,42,0.315765968,0.019706826,0.323136508,0.013451539
43,43,0.322707928,0.016833316,0.320232573,0.01032316
44,44,0.323252306,0.067359396,0.324541146,0.049669348
45,45,0.318338867,0.057509844,0.325889473,0.052075712
46,46,0.308951228,0.026482705,0.326558191,0.028885408
47,47,0.316791607,0.007002296,0.320899223,0.002520805
48,48,0.334083421,0.00910461,0.318249779,0.00519456
49,49,0.315861846,0.003658296,0.319630779,0.00601949
50,50,0.3249397,0.016470249,0.319480815,0.020188105
51,51,0.326661745,0.005082581,0.318747132,0.00200345
52,52,0.330247547,0.01015689,0.317658605,0.020971345
53,53,0.309980791,0.003354628,0.321454439,0.000875287
54,54,0.323039048,0.021993818,0.319727581,0.01797864
55,55,0.32129102,0.016576698,0.3205,0.020667362
56,56,0.320352786,0.017749011,0.320683833,0.012390934
57,57,0.313536908,0.031280289,0.326358542,0.024305439
58,58,0.333480107,0.016408994,0.317090577,0.016123434
59,59,0.319518532,0.009540373,0.321262615,0.014005368
60,60,0.315728555,0.000632259,0.322488679,0.008660422
61,61,0.33963989,0.047650097,0.325931781,0.043919286
62,62,0.319739322,0.009546361,0.320997927,0.016279701
63,63,0.335012059,0.016228084,0.316532326,0.012839768
64,64,0.334453926,0.000853792,0.317139811,0.00991633
65,65,0.321427151,0.018076943,0.320362295,0.003574902
66,66,0.331892887,0.043182685,0.321392762,0.04114488
67,67,0.330050135,0.019511746,0.319256475,0.021062566
68,68,0.315322045,0.019165037,0.32455918,0.027215715
69,69,0.305845365,0.010498081,0.324388292,0.008506901
70,70,0.331311841,0.022980567,0.318221447,0.033311137
71,71,0.315846495,0.011232532,0.322363824,0.010789293
72,72,0.316163265,0.00274037,0.320649536,0.004623013
73,73,0.319634049,0.011830352,0.321205563,0.008297199
74,74,0.330619241,0.00182973,0.317370818,0.001071804
75,75,0.314814284,0.033902083,0.323488867,0.033987006
76,76,0.315923964,0.018608172,0.323665277,0.015134733
77,77,0.323631377,0.013712397,0.322991886,0.011181562
78,78,0.325706277,0.04474697,0.322013465,0.043230249
79,79,0.32364493,0.019308199,0.31906268,0.007979999
80,80,0.323540357,0.006522281,0.321049075,0.000346192
81,81,0.333135941,0.020348483,0.326191344,0.026894875
82,82,0.310025961,0.021755898,0.323250329,0.023664335
83,83,0.330994249,0.027305043,0.320429047,0.026885093
84,84,0.320688211,0.026717235,0.321230399,0.024484481
85,85,0.316369955,0.03200334,0.325683383,0.032507188
86,86,0.322994404,0.028942504,0.318982217,0.012746144
87,87,0.326345587,0.018503578,0.318896029,0.015840177
88,88,0.333784858,0.025579631,0.323684041,0.027781235
89,89,0.328182723,0.051499331,0.328140748,0.03704554
90,90,0.33060945,0.017738868,0.323441804,0.001846723
91,91,0.305822627,0.015425363,0.324448053,0.013960341
92,92,0.317459237,0.019551747,0.322697391,0.020451633
93,93,0.305680602,0.020117377,0.325166852,0.02279123
94,94,0.327511436,0.028531472,0.320259057,0.030395398
95,95,0.321531457,0.010623683,0.319581504,0.012004004
96,96,0.30947709,0.027909565,0.322774983,0.022966684
97,97,0.323780969,0.015260355,0.320215088,0.007527218
98,98,0.329621245,0.02505973,0.318821643,0.00741553
99,99,0.317792966,0.063684245,0.327864528,0.059766931
